User_id,User_name,Phone,Order_amount,Address
936189629,Arri_as,,,
936189629,Arri_as,,,
579101286,kanikel,,,
579101286,kanikel,,,
579101286,kanikel,,,
579101286,kanikel,,,
579101286,kanikel,,,
579101286,kanikel,,,
5273583060,,,,
5273583060,,,,
936189629,Arri_as,,,
936189629,Arri_as,,,
579101286,kanikel,,,
579101286,kanikel,,,
579101286,kanikel,,,
579101286,kanikel,,,
579101286,kanikel,,,
579101286,kanikel,,,
579101286,kanikel,,,
936189629,Arri_as,,,
936189629,Arri_as,,,
936189629,Arri_as,,,
936189629,Arri_as,,,
936189629,Arri_as,,,
936189629,Arri_as,,,
936189629,Arri_as,,,
936189629,Arri_as,,,
